delta_wave_intensity,theta_wave_intensity,alpha_wave_intensity,beta_wave_intensity,gamma_wave_intensity,delta_wave_entropy,theta_wave_entropy,alpha_wave_entropy,beta_wave_entropy,gamma_wave_entropy,,emotion
4,4,8,30,30,4,8,13,23,30,,Anger
0.5,8,8,13,30,0.5,4,13,13,30,,Anger
0.5,4,13,13,45,4,8,13,13,30,,Neutral
4,4,8,30,30,4,8,8,14,30,,Anger
0.5,4,8,13,30,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,13,30,30,,Anger
0.5,4,8,13,45,0.5,4,8,15,30,,Anger
4,8,13,30,30,4,4,13,13,30,,Sad
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,8,13,13,43,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,7,8,13,30,4,6,8,30,30,,Happy
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,30,45,4,8,8,30,45,,Anger
0.5,4,8,13,30,4,8,8,13,30,,Anger
4,8,13,13,45,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,8,8,16,30,,Anger
0.5,4,8,18,30,0.5,8,13,13,30,,Anger
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,4,8,19,44,0.5,8,8,21,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,36,,Anger
4,8,13,30,30,4,4,8,30,45,,Happy
0.5,4,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,30,30,4,4,13,13,30,,Happy
0.5,8,13,13,45,0.5,4,8,15,45,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
4,8,13,30,30,4,8,8,30,41,,Happy
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,45,4,8,13,30,45,,Anger
0.5,4,8,13,43,4,4,13,13,30,,Happy
0.5,4,13,13,30,4,4,13,13,45,,Neutral
4,4,8,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,45,,Neutral
0.5,6,8,13,30,4,4,8,13,30,,Happy
4,8,13,30,30,4,8,8,30,30,,Sad
0.5,8,13,13,30,4,8,13,13,45,,Neutral
4,8,13,30,31,4,8,13,13,45,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,10,30,30,4,8,13,30,30,,Anger
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,30,45,,Sad
4,4,8,30,30,0.5,8,8,13,45,,Anger
4,8,13,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,3,8,8,13,30,,Happy
0.5,8,13,13,30,4,8,8,30,30,,Happy
0.5,8,13,13,30,4,8,13,30,45,,Anger
4,8,13,30,45,0.5,4,13,13,45,,Sad
0.5,8,8,30,30,4,4,13,13,45,,Sad
4,4,8,30,45,4,8,13,30,41,,Anger
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,35,,Anger
0.5,4,13,13,30,0.5,8,13,13,30,,Neutral
4,8,13,13,30,4,4,13,13,30,,Neutral
4,8,13,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,4,8,13,30,0.5,8,8,30,30,,Anger
0.5,8,8,13,30,0.5,4,8,13,30,,Happy
4,8,13,13,30,4,8,8,13,30,,Anger
4,8,8,30,30,4,4,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,30,45,,Sad
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,0.5,8,13,30,30,,Sad
0.5,8,13,13,30,4,8,13,13,45,,Neutral
4,8,13,30,34,4,8,13,30,43,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,8,8,17,45,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,8,13,16,30,2,8,8,13,30,,Anger
4,8,13,30,30,4,4,13,13,30,,Sad
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
4,4,13,30,45,0.5,4,8,30,45,,Sad
0.5,4,8,13,30,4,4,8,29,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,8,13,13,30,,Anger
4,4,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,10,30,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,36,4,8,8,20,30,,Sad
0.5,4,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,20,45,4,4,13,30,30,,Sad
0.5,7,13,13,30,0.5,4,13,13,31,,Neutral
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,8,13,45,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,21,30,,Anger
4,4,13,13,45,0.5,5,13,13,45,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,4,8,30,30,0.5,4,13,13,30,,Anger
4,4,8,30,45,4,8,8,30,45,,Anger
0.5,8,13,13,45,4,4,8,13,45,,Happy
4,4,8,30,30,0.5,8,13,13,45,,Anger
4,4,8,30,45,4,4,13,13,30,,Anger
0.5,4,8,13,30,4,8,8,13,30,,Anger
4,4,8,30,30,0.5,4,13,13,30,,Anger
0.5,4,8,13,30,4,4,8,30,30,,Happy
4,8,13,30,30,4,8,13,13,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,38,,Anger
4,5,8,30,30,0.5,8,13,30,30,,Anger
4,8,13,30,45,4,4,8,13,31,,Anger
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,4,8,13,30,2,8,8,13,30,,Anger
4,8,13,13,45,4,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,45,0.5,8,8,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,37,,Neutral
0.5,4,8,13,30,0.5,8,13,30,45,,Anger
0.5,8,13,13,30,0.5,4,13,26,30,,Anger
4,4,8,30,45,4,5,13,18,30,,Happy
4,8,13,30,45,0.5,4,13,30,30,,Sad
4,8,9,30,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,13,30,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,4,8,13,30,,Anger
0.5,8,8,13,45,4,4,13,13,30,,Happy
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,0.5,4,13,13,39,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,13,13,30,4,4,13,13,45,,Neutral
4,8,13,30,30,4,4,13,13,30,,Sad
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
4,8,13,13,39,4,5,13,13,37,,Neutral
0.5,8,13,13,30,0.5,8,8,13,30,,Anger
4,8,13,30,45,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,4,8,13,45,0.5,8,13,30,30,,Anger
4,8,13,30,45,4,8,13,30,30,,Anger
4,4,8,25,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,8,30,39,,Happy
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
4,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,0.5,8,13,30,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,7,8,30,30,4,4,8,13,30,,Anger
4,8,13,13,39,4,7,8,30,45,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,8,8,13,30,4,4,8,13,30,,Happy
4,4,8,13,30,4,4,8,30,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,4,8,30,30,0.5,8,13,13,30,,Anger
0.5,4,8,13,30,0.5,7,8,30,30,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,8,13,30,30,4,8,8,30,30,,Sad
0.5,4,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,30,45,0.5,8,13,30,30,,Anger
4,8,13,30,30,4,8,13,30,45,,Anger
0.5,8,13,13,30,0.5,4,13,30,45,,Sad
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,45,0.5,8,13,13,45,,Anger
0.5,8,13,13,30,4,4,8,13,30,,Happy
4,4,13,13,33,4,8,13,13,30,,Neutral
0.5,8,9,13,30,4,4,8,30,30,,Happy
4,4,8,13,30,4,8,13,30,45,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,4,8,30,45,4,4,8,13,30,,Anger
4,4,8,13,30,4,4,8,30,45,,Happy
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,13,13,30,0.5,8,8,13,45,,Anger
0.5,4,8,13,45,4,8,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,30,30,0.5,8,13,30,45,,Anger
0.5,4,8,13,45,4,8,8,30,45,,Anger
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
0.5,8,13,13,30,0.5,8,13,30,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,8,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,45,4,4,8,13,31,,Happy
0.5,4,8,13,30,4,8,13,13,30,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,15,30,4,8,8,15,30,,Happy
4,4,8,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,3,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,4,8,30,30,0.5,4,13,30,30,,Anger
2,8,13,13,30,4,8,13,13,30,,Neutral
4,4,8,29,30,0.5,8,8,13,30,,Anger
4,8,13,20,30,0.5,4,13,13,30,,Anger
4,4,8,30,30,4,8,13,30,30,,Anger
4,8,10,19,30,0.5,8,8,13,30,,Anger
4,4,8,30,30,4,4,13,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,13,30,45,4,4,8,13,45,,Anger
2,8,13,13,30,0.5,4,13,13,33,,Neutral
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
4,8,13,13,30,0.5,8,8,13,42,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,4,8,30,45,0.5,4,8,25,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,45,4,4,8,30,45,,Anger
4,4,8,13,30,4,4,13,13,30,,Happy
4,8,13,30,30,0.5,4,8,30,45,,Happy
4,8,13,13,30,0.5,8,13,13,30,,Neutral
4,8,13,13,45,4,4,13,13,30,,Neutral
4,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,25,30,0.5,8,8,30,30,,Anger
0.5,4,8,13,45,4,4,8,13,30,,Happy
0.5,7,8,13,30,4,8,8,30,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,4,8,30,30,4,8,13,13,32,,Anger
0.5,4,8,13,41,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,30,34,0.5,8,13,28,45,,Anger
4,4,8,30,45,0.5,4,12,13,30,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
4,8,13,13,45,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,45,,Anger
0.5,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,30,,Neutral
4,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,4,13,13,45,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,30,4,8,8,30,30,,Happy
0.5,8,13,13,45,4,4,13,13,34,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,30,45,4,8,13,13,45,,Anger
4,8,13,30,38,4,4,13,13,45,,Sad
4,8,13,13,45,0.5,8,13,13,30,,Neutral
4,4,8,13,45,0.5,4,13,30,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,4,8,28,30,4,4,8,13,30,,Anger
4,4,8,21,30,4,4,13,13,30,,Happy
4,4,8,30,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,4,13,13,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,4,8,8,30,45,,Happy
4,4,8,30,34,4,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,8,8,30,30,,Sad
0.5,6,13,13,39,4,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,26,30,4,4,8,13,30,,Anger
4,4,8,30,30,4,4,13,13,30,,Anger
0.5,4,8,13,45,0.5,4,8,13,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
0.5,4,8,13,45,0.5,4,8,13,30,,Anger
0.5,4,8,24,30,0.5,8,8,22,45,,Anger
0.5,8,8,13,30,0.5,4,8,13,30,,Happy
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,4,4,8,30,30,,Happy
4,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,8,13,30,0.5,4,8,13,30,,Happy
0.5,4,13,13,45,4,8,13,13,30,,Neutral
4,8,13,13,43,0.5,4,13,13,45,,Neutral
4,4,8,30,30,0.5,5,8,13,45,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,30,30,,Sad
4,4,8,30,30,4,8,8,30,45,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,6,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
4,4,8,30,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,8,8,30,45,,Anger
4,4,8,20,30,0.5,4,8,13,45,,Anger
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
4,8,13,30,45,4,4,8,13,45,,Anger
4,4,8,22,30,0.5,8,13,29,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,13,13,40,,Happy
4,8,8,30,45,0.5,4,8,13,30,,Anger
0.5,7,8,13,45,0.5,4,8,13,30,,Happy
4,4,12,28,30,4,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,18,45,4,8,8,13,30,,Anger
4,4,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,13,45,4,8,13,13,30,,Neutral
4,8,13,30,41,0.5,8,13,30,45,,Happy
4,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,8,13,13,30,4,4,13,13,40,,Neutral
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,4,8,13,30,45,,Anger
4,4,8,22,30,4,4,13,30,30,,Anger
4,8,13,30,30,4,8,13,30,45,,Anger
4,8,13,30,30,0.5,4,13,13,30,,Anger
4,4,8,13,30,4,4,8,13,45,,Happy
4,8,13,13,42,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
4,4,8,30,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,13,30,45,0.5,8,13,13,34,,Sad
0.5,4,8,13,30,4,4,8,13,45,,Happy
4,8,13,30,45,4,8,13,28,39,,Anger
0.5,4,8,13,30,4,4,13,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,8,13,30,30,4,4,13,30,45,,Happy
4,8,13,14,30,0.5,8,8,30,30,,Anger
0.5,8,13,13,45,0.5,8,13,13,39,,Neutral
4,8,13,13,39,4,5,13,13,37,,Neutral
4,8,9,30,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,4,8,8,30,45,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,13,13,30,4,4,13,13,37,,Neutral
0.5,8,13,13,45,4,8,13,13,45,,Neutral
4,8,8,30,45,4,8,13,13,30,,Happy
2,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,35,,Neutral
4,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
4,4,8,30,45,0.5,8,13,23,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,43,,Neutral
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,45,4,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,30,0.5,8,13,13,30,,Anger
4,8,8,25,30,4,8,13,13,30,,Happy
0.5,4,13,13,30,4,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,45,,Neutral
0.5,4,8,13,33,4,4,8,13,30,,Happy
4,8,8,27,38,4,8,8,13,30,,Happy
0.5,8,13,13,45,4,8,8,30,45,,Anger
4,4,8,25,45,0.5,4,13,13,30,,Anger
0.5,5,8,13,45,0.5,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,8,30,45,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
4,8,13,19,45,4,8,8,30,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,45,,Neutral
4,4,8,30,30,0.5,8,8,13,30,,Anger
0.5,8,12,13,30,0.5,8,13,30,39,,Anger
0.5,8,13,13,45,4,4,13,30,30,,Anger
4,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
4,4,8,30,30,4,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
4,4,8,30,45,0.5,8,8,30,30,,Anger
0.5,8,13,13,45,0.5,8,13,13,30,,Neutral
4,8,13,30,30,0.5,8,8,16,30,,Sad
4,8,13,30,45,4,4,8,30,30,,Sad
4,4,8,13,30,4,8,13,28,30,,Anger
1,4,8,13,38,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
4,8,10,30,30,2,4,13,13,30,,Anger
4,8,13,13,30,4,4,8,30,30,,Happy
4,8,13,30,30,0.5,4,8,13,35,,Anger
0.5,4,13,13,45,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,13,30,30,,Anger
4,8,13,30,45,0.5,8,13,13,30,,Sad
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,45,4,8,13,13,45,,Neutral
4,4,8,30,45,0.5,4,8,30,45,,Anger
4,8,13,30,30,4,8,13,30,30,,Sad
4,4,8,30,30,0.5,8,8,13,30,,Anger
4,8,13,30,45,4,4,13,13,45,,Happy
4,8,13,30,45,0.5,4,8,30,30,,Sad
0.5,4,8,13,30,4,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,8,13,13,45,4,8,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,8,13,36,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,8,13,33,,Anger
4,8,13,13,30,4,4,13,13,38,,Neutral
4,4,8,30,30,0.5,8,13,13,30,,Anger
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,8,13,13,45,0.5,8,13,13,45,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,13,13,30,0.5,8,13,13,45,,Neutral
4,8,13,14,30,0.5,4,8,13,45,,Anger
4,8,13,30,45,4,8,13,30,45,,Anger
0.5,8,13,13,45,4,4,13,13,45,,Neutral
0.5,4,13,13,45,0.5,4,13,13,30,,Neutral
4,4,8,30,30,0.5,8,13,21,36,,Anger
0.5,4,12,13,45,0.5,4,8,30,38,,Sad
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,30,30,0.5,4,8,13,35,,Anger
0.5,8,13,13,30,4,4,13,13,45,,Neutral
4,8,13,30,30,4,8,13,30,42,,Anger
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,8,13,13,30,2,4,13,13,30,,Neutral
0.5,4,13,13,30,0.5,4,13,13,30,,Neutral
4,8,13,30,30,4,8,13,30,42,,Anger
0.5,8,8,30,30,0.5,4,8,16,30,,Anger
0.5,8,13,13,45,0.5,4,8,27,30,,Sad
4,4,8,14,43,4,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,8,8,30,45,,Sad
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
4,8,13,13,45,0.5,4,13,13,30,,Neutral
4,4,8,14,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,39,4,8,8,30,30,,Anger
0.5,4,8,13,30,4,8,13,13,30,,Anger
4,4,8,13,41,4,4,8,13,30,,Anger
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
4,4,8,13,45,4,5,8,30,30,,Anger
4,8,13,30,30,0.5,8,13,30,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,13,13,30,0.5,4,13,13,45,,Neutral
4,4,8,30,45,0.5,4,8,13,45,,Anger
4,4,8,30,30,0.5,4,8,13,30,,Anger
0.5,8,13,30,30,2,4,8,13,30,,Sad
0.5,8,13,13,30,0.5,4,13,13,34,,Neutral
4,4,8,30,45,0.5,8,13,30,30,,Anger
4,8,10,30,30,4,8,13,30,30,,Anger
0.5,8,13,13,30,4,4,8,30,30,,Happy
0.5,8,13,13,30,1,4,12,13,30,,Sad
4,6,13,30,30,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,4,4,8,13,45,,Sad
4,8,8,13,30,4,8,13,30,30,,Anger
4,4,8,30,45,0.5,8,8,30,45,,Anger
4,4,8,22,45,4,4,13,13,30,,Happy
0.5,4,8,13,45,0.5,8,8,13,30,,Anger
4,4,8,30,30,4,4,13,13,45,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,8,13,13,30,4,4,13,13,37,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,4,8,30,45,4,4,8,13,30,,Anger
0.5,8,13,13,45,4,8,8,13,30,,Anger
4,4,8,13,30,0.5,7,8,24,30,,Anger
4,8,13,13,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,30,0.5,8,10,30,45,,Sad
4,8,13,13,30,4,8,8,13,42,,Anger
0.5,4,8,13,30,0.5,4,8,13,31,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,13,30,,Neutral
0.5,4,8,13,30,4,4,8,13,30,,Happy
4,8,13,30,45,4,8,13,30,45,,Anger
4,4,8,30,45,4,8,13,30,45,,Anger
4,8,13,21,45,0.5,8,13,30,45,,Happy
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,4,4,8,13,30,,Happy
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,8,19,30,0.5,8,11,30,43,,Anger
4,8,12,30,30,0.5,6,13,30,30,,Sad
0.5,8,13,13,30,0.5,4,8,30,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
3,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,30,0.5,4,8,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,45,4,5,13,18,30,,Happy
0.5,8,13,13,45,0.5,4,13,13,30,,Neutral
1,8,8,21,30,4,4,8,13,30,,Happy
4,8,13,13,45,4,8,13,13,45,,Neutral
